Will this Rosetta Stone English (American) - Level 1-5 Set include the Iphone app for free?	Yes
Which Rosetta Stone package do I need to purchase to go from Spanish to English	1-5 set, you would want to do the whole thing. Good luck
will it work if I download it in the US and install in another computer n another country?	Yes! Absolutely! You can install the program in the country you want. ;)
How many users does it support? I want my kids to learn, each on their own pace. Is that possible?	Hi Eran, apoligize I will not be able to answer this question, only my wife used the software.
which version to use for Windows7 ?	I have version 4 on Windows 7. Not sure if they have made one that requires version 8.
Can you please tell me if this is compatible with Mac Mountain Lion or Mavericks?	No
Is the headset/microphone included with the set, or do you need to purchase separately?	Come With the headset
Can the download be used on multiple computers	I have installed and run this software on multiple computers.
Version?	4
How many GB is rosetta stone spanish?	The Rosetta Stone requires 1 GB of Ram or higher and 600 MB free hard-drive space (PER LEVEL)
is this the correct choice for mexico	Yes, or the southwest where so many Spanish-speaking people live and work.
Is there a headset included in the box?	yes
can it be used by more than one person?	If they have your login information yes
This version is for people whose native language is English, and who want to learn Spanish, correct?	Absolutely! It is for English speakers who want to learn Spanish
Can this program be used only with an iPad?	Yes it is much cheaper that way
Would this be good for middle and high school students who are beginners to Spanish?	Yes
Do I need a special kind of monitor ?	Special monitor isn't needed.
How many computers can the software be loaded on?	I loaded mine on my main PC and another laptop. I believe this is the maximum allowed.
Did you learn Chinese?	Yes
Which dialect is taught?	From my experience in Germany it leans more towards Northern Dialects.
Can you use this on more than one computer?	Yes, on at least three devices before the number is frozen.
Can I use it with Windows XP or do I need a newer operation system?	I have no idea. I use windows 8.1.
Does the software for german levels 1-5 include a microfone	Yes.
Will this work on an Apple Macbook?	Yes... Works on my Mac
Is this truly version 4 as shown in the picture?	Yes
does it come with the headphone/ headset?	I purchased mine six years ago, and it did not come with a head set.
do you need a headset and microphone?	Yes
Can the video discs be used on a MacBook Pro??	Yes, as well as on mobile devices.
can i use my surface	Yes
How committed does one have to be to experience notable results?	very committed. Language take a lot of practice
will it run on Mac OS 10.9.2?	I have a Mac OS X 10.9.2 and quicken essentials for Mac works perfectly fine.
Does this work with osx maverick 10.9	I am using it with 10.9 without any problems.
Is this the udpated version compatible with OS X 10.8.3?	Yes
What is the copyright date on the disk?	1998
does this work on Windows 7?	Yes. We had no issues when we loaded the software on a PC that had Windows 7 OS.
will this program print postal barcodes	It doesn't work for Windows 7 and more recent.
Does this work with Windows XL or Windows 7?	Windows NT / 98.
Is this system compatible to Windows 8?	Yes, for what I need My Labels software to do, it works fine.
Does this program handle 9 digit Postnet barcodes?	Sorry I don't know.
will this program print postal barcodes	It doesn't work for Windows 7 and more recent.
Does this work with Windows XL or Windows 7?	Windows NT / 98.
Is this system compatible to Windows 8?	Yes, for what I need My Labels software to do, it works fine.
Does this program handle 9 digit Postnet barcodes?	Sorry I don't know.
How to install Createacard forgetmenot on Win7	had to return it. It wasn't compatible with my Windows 7 compute.r
will it work on windows 7?	I was unable to get it to work on Windows 7 and ended up sending it back.
Will this run on Windows 8?	Mine does!
Does this work on a Mac?	No, i had to return it. Wasn't compatible to Windows 7
I would like to make and sell my homemade cards. Can I do that with this?	Yes you can, easy to make them. So much to look at and do. Fun!
does this work on windows 8	yes this will work on Windows creation to use it you have to experience. It work wonderfully.
How to install Createacard forgetmenot on Win7	had to return it. It wasn't compatible with my Windows 7 compute.r
will it work on windows 7?	I was unable to get it to work on Windows 7 and ended up sending it back.
Will this run on Windows 8?	Mine does!
Does this work on a Mac?	No, i had to return it. Wasn't compatible to Windows 7
I would like to make and sell my homemade cards. Can I do that with this?	Yes you can, easy to make them. So much to look at and do. Fun!
does this work on windows 8	yes this will work on Windows creation to use it you have to experience. It work wonderfully.
What version of family tree maker is htis?	I'm not sure, but it's an early version I think
Can I transfer data from a previous version?	I can't seem to find an answer for you about that, I'm sorry.
will this version work on XP and windows 7?	I didn't notice it came with a CD. Ours is only the book
What version of family tree maker is htis?	I'm not sure, but it's an early version I think
Can I transfer data from a previous version?	I can't seem to find an answer for you about that, I'm sorry.
will this version work on XP and windows 7?	I didn't notice it came with a CD. Ours is only the book
I cannot get the game to work on my lap top operates windows 7 64 bit pc	I never got it to work on Windows 7 ...it will only work on XP
Will this work for a MacBook?	No it's for windows. An older version like 95. I can't even play it.
Will it play on windows 8?	No
Will it work on Windows Vista	No
will this play on windows 7 ?	Yes it will play
is this for the computer	Yes, it is a computer game
Will this make half fold cards?	Yes. I normally make letter size, half fold. It also has several paper sizes available.
does it work with mac (os x yosemite computers)	On the package says it does. I haven't tried it. Thanks
Sill this run on Windows 7?	Sorry, I have a Mac. It didn't run on my Mac because it arrived scratched and damaged.
Can I use this with windows 8.1?	Yes
will delux2 work in windows8?	I don't know. The disk that I received didn't work at all.
Will this make half fold cards?	Yes. I normally make letter size, half fold. It also has several paper sizes available.
does it work with mac (os x yosemite computers)	On the package says it does. I haven't tried it. Thanks
Sill this run on Windows 7?	Sorry, I have a Mac. It didn't run on my Mac because it arrived scratched and damaged.
Can I use this with windows 8.1?	Yes
will delux2 work in windows8?	I don't know. The disk that I received didn't work at all.
my granson computer is a windows 7. is this compatable?	Yes it is. I had no trouble loading it.
will this work on a os x mac 10.9 or later	No it does not. I have a newer mac and it does not open. I have to use it with my laptop.
my granson computer is a windows 7. is this compatable?	Yes it is. I had no trouble loading it.
will this work on a os x mac 10.9 or later	No it does not. I have a newer mac and it does not open. I have to use it with my laptop.
my granson computer is a windows 7. is this compatable?	Yes it is. I had no trouble loading it.
will this work on a os x mac 10.9 or later	No it does not. I have a newer mac and it does not open. I have to use it with my laptop.
How do you print partial pages of pre-printed 3 check forms?	No idea, I gave up on this program years ago.
How do you print partial pages of pre-printed 3 check forms?	No idea, I gave up on this program years ago.
Is it a full version or an upgrade one? Does it come with a liense key? Thanks.	yes it does come with the product key
Can I install this on more than one computer	From what I understand you have to have a license to put it on another computer.
will this Office XP work on my laptop windows Vista	I do not know. This is a pretty old product. I would suggest to find a more recent version.
Does this include Microsoft Publisher?	No it doesn't
What do you think of the word processing feature?	It worked fine for years. But I have Windows 7 now, and that works fine, too.
We dont have internet on our old computer. Does this require internet to run?	no
I teach kids. Can I load one on several different computers?	I don't know.
We dont have internet on our old computer. Does this require internet to run?	no
I teach kids. Can I load one on several different computers?	I don't know.
is it compatible with windows 8?	Yes
Does it work with vista? Mountain Rescue works OK.	Vista is a Windows OS so I do not know.
Is this game compatible with Windows 8.1?	I think so.
is it compatible with windows 8?	Yes
Does it work with vista? Mountain Rescue works OK.	Vista is a Windows OS so I do not know.
Is this game compatible with Windows 8.1?	I think so.
is it compatible with windows 8?	Yes
Does it work with vista? Mountain Rescue works OK.	Vista is a Windows OS so I do not know.
Is this game compatible with Windows 8.1?	I think so.
Can it run on 64bit? Windows 7	Yes. It lags a little, but plays just fine.
Can it run on 64bit? Windows 8?	Yes. I have windows 8 and it works on both my desktop and laptop.
will this play on windows 8	Yes it will!
Will this game work on windows 8.1?	Not sure. I know it doesn't work on my MAC!
WIll this work on windows 7? I imagine not, but one can hope!	it did not on mine
Will this work with OS Snow Leopard?	I will look at the box and see if that OS is mentioned and get back with you
Does this work on windows 7?	Don't know if it works on windows 7, I have a Mac.
mac install	No clue
Can it run on 64bit? Windows 7	Yes. It lags a little, but plays just fine.
Can it run on 64bit? Windows 8?	Yes. I have windows 8 and it works on both my desktop and laptop.
will this play on windows 8	Yes it will!
Will this game work on windows 8.1?	Not sure. I know it doesn't work on my MAC!
WIll this work on windows 7? I imagine not, but one can hope!	it did not on mine
Will this work with OS Snow Leopard?	I will look at the box and see if that OS is mentioned and get back with you
Does this work on windows 7?	Don't know if it works on windows 7, I have a Mac.
mac install	No clue
HOW MANY PRODUCT KEYS ARE INCLUDED? CAN SOME ONE TELL ME IF IT IS?	Yes, there is one (1) product key included.
Can I use this to upgrade XP Home Edition to XP Pro?	yes
on my windows 8 what program will i need to play window 2000 xp games	It depends on the game. Hit Google for help.
will it work on laptop	Yes
does this work with HP and Dell pcs	I own an HP witch ran Windows ME and the update worked.
Does it come with a product key	Yes
Do you have to have some sort of photoshop on your PC in order to use this?	Yes, it searches your system plus it asks for serial number of earlier version.
Can I use this on Windows 2007?	I don't think it will work, Windows 7 isn't listed. Also, it has very varied reviews.
Will this one be the same as the old creata card gold for windows XP 95/98	I have a ? I don't know how to do the test for double sided cards.
Can I use this on Windows 2007?	I don't think it will work, Windows 7 isn't listed. Also, it has very varied reviews.
Will this one be the same as the old creata card gold for windows XP 95/98	I have a ? I don't know how to do the test for double sided cards.
Is Picture It! 7.0 compatible with Windows 8?	No it isn't. Very unhappy for spending the money.
Can this be used on windows 8.1?	yes it can. I use it on a laptop with Windows 8.1. I run it in compatibility mode with windows XP.
Is there an option for doing transfers for tee shirts?	yes there is there is a revese option fo rwords
Is this program compatible with windows vista?	I don't know that much about computers. I have Windows 7 and it works just fine!
will it work with windows 7	Yes, it works fine as it's simpler then MS Word 10..
Will this work with windows 8.1?	I have not tried it on 8.1 but it did work on Win 8 so it seems likely that it would. John
Will microsoft works 7.0 work with windows 7 ?	Yes it does! I have now upgraded to windows 8 and it works with that also!
will this work with eos rebel T3i to convert raw files?	I'm not familiar with that format, but if your pictures are in .jpg format, there is no problem
Does it support partial transparency, and can it apply drop shadows?	No
Is this compatible with Windows vista	I don't know. Contact Adobe
Will this work on MAC computers?	I believe it will - says Windows/Mac in description. :)
does it work on windows 7	No
NEarly $900????? OMG, i this thing SERIOUSLY nearly $900.00???	Are u serious?
Does the software requires providing a student ID when installed??	NO, that was not my experience - just simply load the CD and go.
Can I install it on my laptop/desktop?i.e. Can it be installed on multiple PCs ?	You can install it in one or more devices as long as you purchased software license for it.
Does EndNote v6 work with Windows 7?	yes
Does the software requires providing a student ID when installed??	NO, that was not my experience - just simply load the CD and go.
Can I install it on my laptop/desktop?i.e. Can it be installed on multiple PCs ?	You can install it in one or more devices as long as you purchased software license for it.
Does EndNote v6 work with Windows 7?	yes
is this product compatable with windows vista	It should as mine is windows 8
Will it work on HP 8.1? Thanks. Carol Spenyovics	Probably not. Wouldn't work on HP7, but I used it on Windows VISTA. Very good program
is this product compatable with windows vista	It should as mine is windows 8
Will it work on HP 8.1? Thanks. Carol Spenyovics	Probably not. Wouldn't work on HP7, but I used it on Windows VISTA. Very good program
Is this compatible with windows 7?	Yes it is compatible. I have it installed on my windows 7.
hello I need to know if this one is compatible to windows 8	No the one I bought was not compatible.
Is this compatible with windows 7?	Yes it is compatible. I have it installed on my windows 7.
hello I need to know if this one is compatible to windows 8	No the one I bought was not compatible.
What lotus product works on Windows 8 or 8.1?	All seem to work without incident.
Does this include the 123 spreadsheet?	I don't use this program anymore but I do remember it having 123 - something that I used with Lotus.
How does it work with Windows 8?	Works just fine with Windows 8 and Windows 8.1, both 32 and 64 bit versions of the operating system.
Will this work with Windows Vista Home Premium 2007 Service Pack 1?	I don't know if it will work with your OS but it does work with Windows 8.1
will it work with windows 8?	Not sure - I ahve windows 7
Can you insert pictures and then cut out parts of the picture?	By scanning them in? You can always crop them, no matter how they are imported to the computer.
is this compatible with windows7	Unfortunately this is not compatible with Windows 7
Looking for createacard compatible with windows 8.	I certainly enjoy Creatacard. Use it frequently
is this compatible with windows7	Unfortunately this is not compatible with Windows 7
Looking for createacard compatible with windows 8.	I certainly enjoy Creatacard. Use it frequently
Will The Print Shop Delux 20 work on Windows 7	Yes
will it work with Windows 8?	I don't know about Windows 8, but it works well on Windows 7 and most that work on 7 will work on 8.
Does it work with Windows 8.1?	It works like a dream
i am looking for a software compatible with windows 8.1 to do simple checkbook	It does not work with windows 8.1
Does it work with Windows 8.1?	It works like a dream
i am looking for a software compatible with windows 8.1 to do simple checkbook	It does not work with windows 8.1
In I Spy Fantasy, where is the scroll in the wizards room?	it is the rolled up paper with the ribbon around it laying on the desk
In I Spy Fantasy, where is the scroll in the wizards room?	it is the rolled up paper with the ribbon around it laying on the desk
In I Spy Fantasy, where is the scroll in the wizards room?	it is the rolled up paper with the ribbon around it laying on the desk
What is the difference btw student version and full version?	They are both the same, student version is discounted for Students
is this compatible with Windows 8?	I have Windows 8 and it works just fine
What is the difference btw student version and full version?	They are both the same, student version is discounted for Students
is this compatible with Windows 8?	I have Windows 8 and it works just fine
Would I able to register under my name?	yes
Can 1 user use the program for 3 computers for her own use?	I didn't try it myself but I think that it's possible
Is this a 1 or 3 user?	This is 1 user.
So this is the full version? You said you'll sell it for $28.00 shipped?	No, not for sale. Sorry.
Is this an upgrade or stand alone ?	Stand alone I would think
Has anyone installed this on Windows 7?	Didn't have disc to do so using Expression Web which is not too user friendly
So this is the full version? You said you'll sell it for $28.00 shipped?	No, not for sale. Sorry.
Is this an upgrade or stand alone ?	Stand alone I would think
Has anyone installed this on Windows 7?	Didn't have disc to do so using Expression Web which is not too user friendly
Can this run on windows 8.1?	It will run on windows 8.1
is this a singe license CD or a multi license?	I was able to install it on two computers but had to jump through some Microsoft hoops to do so.
IS Microsof Wordt 2003 A Disc??????	Yes. I have Microsoft Office Basic Edition 2003 and it came as a disk.
Is this the full version or an upgrade?	I got a full version of office ..
IS Microsof Wordt 2003 A Disc??????	Yes. I have Microsoft Office Basic Edition 2003 and it came as a disk.
Is this the full version or an upgrade?	I got a full version of office ..
How user friendly is this if you have never made cards before?	It is not the best but okay.
Will this work on a 64 bit windows 7 machine?	Yes
How user friendly is this if you have never made cards before?	It is not the best but okay.
Will this work on a 64 bit windows 7 machine?	Yes
Does this version work on mac snow leopard 10.6.3	Yes, I am on 10.6.8
does this version work on mac 10.6.8	Yes it does.
I am running OS 10.9. Will this work for me?	Depends on the adobe version, the one I bought and returned would not work on our newer machines
will this run on OS X ver 10.6?	I run this on MAC OS X 10.5.6 LEOPARD if that helps to know???
will this work on mac mini g4?	This is a question for Apple Support they will know the answer. Don't trust any other source.
Will this work for an iBook G4 that had OS X version 10.3.4?	It should.
Does your product have the Product key (25 charaters) as well as the CD Key(11 chaactes)?	Yes it does. CD key is on back of jewel case product came in.
will it work on windows 7?	No
will it work on windows 7?	No
will this work with windows 7 ?	Yes it works on my windows 7 computer.
I understand the Software doesn't work with Mac, but can a Mac still get and view the Image files?	No
Does it work for Mac?	No it doesn't you would have to search for one that is mac compatible
Is this compatible with the news iOs? Yosemite?	Sorry, I don't know. It is o.k. with widows 8.1.
will this work with windows 7 ?	Yes it works on my windows 7 computer.
I understand the Software doesn't work with Mac, but can a Mac still get and view the Image files?	No
Does it work for Mac?	No it doesn't you would have to search for one that is mac compatible
Is this compatible with the news iOs? Yosemite?	Sorry, I don't know. It is o.k. with widows 8.1.
Can this be setup as a rear projection	Haven't tried it but I don't think so.
Mac compatible?	No. Get a converter. $14 @ amazon.
I can connect this to my laptop?	Yes, I use the projector with my powerpoint presentations that are on my computer.
is this a 32 or 64 bit	This is 32 bit, if it were the 64 bit version that would be indicated (possibly as "X64")
Quick question... ...why in hell is this still so expensive?	If you are building a sytem from scratch get the OEM version it is cheaper.
Is the 32 or 64 bits?	32 bit.. I haven't used the 64 bit version.
Installing Windows XP: or should i have a professional do it?	Thanks for your help. I think I will stick with XP. I have found Vist media center a nightmare.
did your copy of XP come with all necessary drivers and internet ready, ie., fully operational	Yes
Will this install over my XP original version with no SPaks? I have Mac/Parallels.	Yes it will!
I have windows 7 will this game work with that?	yes it will but not mac computers and I cant use the one I bought .
Will this work with a mac, specifically OS X version 10?	No. It doesn't even work on newer Windows 7 or 8. Don't buy this crap.
Does this software require an always on internet connection?	No
can this software work with a newer computer	It might
is it a c.d or dvd	It is a CD
Does it work with windows 8	I haven't used it much, but it downloaded, opened, etc. w/ Windows 8.
Can I transfer a data base created on Excel to My Database?	not sure, I haven't done that, but I will try Monday and let you know.
will it work with windows 7	Yes it does just fine.
Will this program work on Windows 7?	I have the same question.
Does it include a printed (paper) user's manual ? thank you all !!	NO IT DOES NOT
does it work with windows 8	Not sure. I would us Open Office anyway. My Database had none of the features I was looking for.
Does it work 0n a Mac	It didnt work for me in the garbage
Can you make address labels from a created database with this?	yes, go to output and choose labels and set them up for the size you want
Will program export to MS Access?	I never used this software after I purchased it. Sorry.
I have a disc for windows 95. How can I download to windows 7?	I don't think it can be down loaded to 7
Will it work with Windows 7?	Yes
is it compatible with windows 8	No it is not compatible with windows 8. It is a 2001 product and not compatible
windows 7 compatible?	Yes.
Will it work with Windows 7?	Yes
is it compatible with windows 8	No it is not compatible with windows 8. It is a 2001 product and not compatible
windows 7 compatible?	Yes.
can i use it with windows 7	I Have used it with MS 7 and am now using it with MS 8 I have encountered no problems with it.
does this product works with windows 8	yes it does, works well with mine.
will it work on Windows 8.1?	I'm sorry. I am running Microsoft Works 8.o on XP. Not familiar with 8.1
can i use it with windows 7	I Have used it with MS 7 and am now using it with MS 8 I have encountered no problems with it.
does this product works with windows 8	yes it does, works well with mine.
will it work on Windows 8.1?	I'm sorry. I am running Microsoft Works 8.o on XP. Not familiar with 8.1
can i use it with windows 7	I Have used it with MS 7 and am now using it with MS 8 I have encountered no problems with it.
does this product works with windows 8	yes it does, works well with mine.
will it work on Windows 8.1?	I'm sorry. I am running Microsoft Works 8.o on XP. Not familiar with 8.1
can i use it with windows 7	I Have used it with MS 7 and am now using it with MS 8 I have encountered no problems with it.
does this product works with windows 8	yes it does, works well with mine.
will it work on Windows 8.1?	I'm sorry. I am running Microsoft Works 8.o on XP. Not familiar with 8.1
is it for windows 8?	I'm using it with Windows 8.
does this dictionary have Audio pronunciations?	It will not work with Windows 8.
Random House Webster College Dictionary: Will this DVD work on a 64 BIT system?	I just tried to install it, and it wouldn't install because I have a 64 BIT system.
Is this compatible with Windows 7?	Yes, it is compatible with Windows 7 as that is what I now use. I love this product!
will the work on windows 7?	Yes, I have used mine on vista and 7 and now 8. Happy Christmas from Adelaide, SA. Sheila.
last updated?	As far as I know the program is no longer being produced. I bought mine online used.
Is this product compatible with Windows 7?	yes (and 8)
How do i install the software without product key or serial number?	Maybe pay for it!
I want to factory reset my Ibook g4 does this work?	It worked perfectly for me to reload my book.
I have an 2005-06 iMac OS X 10.4 I can no longer find my original restore disc, will this work?	I did a clean install with this and worked fine
Do I install the Smart Suite on my computer hard drive?	Yes, install the Lotus SmartSuite program on your hard drive.
I have many old lotus 123 files, Will be be able to recover them	You will be able to recover them.
Will this software work with Windows 8.1?	Don't know. I'm running it in Windows 7 only.
Windows 7 ?:?	What is your question?
Compatability: Compatible with Windows 7?	No. But if you have Windows 7 Professional, you can switch over to XL and run.
I have a new Hp computer with Windows 7. Is this version compatible with Win. 7?	yes it works in windows 7 Dave
will this work with windows 8.1	Yes, it is working for me.
how can I get it to download and work on 8.1?	I'm pretty sure you have to get it on CD. I got it to work on Windows 7 but not sure about 8.1.
Does it work on windows 8.1?	No...
Will it work on WIndows Vista?	Sorry, I don't know....but it certainly works in Windows 7.
Will it work on windows XP ?	Yes. That's the system used by the computer I run Lotus on & I haven't had any problems.
will this work on Windows 7 64-bit	Yes it will. I have installed it on Windows 7 64 bit and it works perfectly. :)
Can you run this game on Windows 7?	Yes.
Will it run on Windows 8 ?	I do not think so; but I heard there was supposed to be an updated version.
Can you run this game on Windows 7?	Yes.
Will it run on Windows 8 ?	I do not think so; but I heard there was supposed to be an updated version.
Will this work with Windows 8?	Yes mine does! Great program and company!
Will this program work on a Mac OS X Lion?	Yes. I have it running on Yosemite.
will this work on macbook pro?	They have a Mac version.
will this work on macbook pro?	They have a Mac version.
Does iMovie 06 work on Lion?	i have leopard which it does work but i don't know if it would work for lion
Does iMovie 06 work on Lion?	i have leopard which it does work but i don't know if it would work for lion
Does iMovie 06 work on Lion?	i have leopard which it does work but i don't know if it would work for lion
Does iMovie 06 work on Lion?	i have leopard which it does work but i don't know if it would work for lion
does it have jewel case software	Yes.
Does this work with Mac's latest OS Maverick	No! Even though this says it works with Mac, it does not! Only windows.
is it compatible with windows 7 professional	yes
is it compatible with windows 8?	Yes
Will CreataCard Select 6 work with Windows 7?	It works fine on my Win 7 system - I have a 3.2 GHz processor and 8 GB of RAM.
Does Select 6 work on Windows 7	Yes
Does this work with Windows 8?	I just realized...I don't think I ever got it...
Will CreataCard Select 6 work with Windows 7?	It works fine on my Win 7 system - I have a 3.2 GHz processor and 8 GB of RAM.
Does Select 6 work on Windows 7	Yes
Does this work with Windows 8?	I just realized...I don't think I ever got it...
will it work with windows 7?	Yes
does this work on MAC Yosemite? I just upgraded and need to be sure before I buy	No
I have Mac Snow Leopard, will it work well w/ that? Is it old enough or too old? lol	I ran it on Snow Leopard. Worked great. It's a fun game and I found it very challenging.
does it work on new computers	No u have to have windows X i believe for it to work.
cAN I use this software with windows 8?	I am not sure but the windows I use was not listed either and I have no issues
Can it be used on a ipad2 or a new nook	No. Just a desktop computer.
Does Sword searcher run on Windows 8.1	Yes
Can I print bible verses in sermon text ?	Yes
can you just read through the bible text	Yes, you can simply read the Bible or do an extensive study, whichever you prefer.
I have widows 8. Is it still compatible?	I am running it on Windows 8.0 and 8.1. No problems. Jack Hammond
windows compatibility	I have Windows 7, and it works with that. I don't know if it works with later versions of Windows.
Will the 2003 (Student and Teacher) software work on Windows 8 operating system?	Yes
Will this work now on Windows 7 without any updates or support?	Yes I have it running on my sons computer. No problems at the moment. I hope this helps?
I have another question please. Is it compatible with dragon dictate?	I don't know, but I will ask my nephew and let you know what he says.
will this work with windows 8?	Hi. Yes I think so because I have office 2003 pro working on my win8.1. Hope this helps?
How many computers does the license me to load Office 2003 on?	So far 2...
can this be used on a mac?	No, because MAC do not use Microsoft products they have their own.
Does this product include Microsoft Money 2007	It contains Microsoft Money 2006 not 2007.
does this work with windows vista?	Sorry, I don't know about Vista but it works fine with XP
does this print bar codes on envelopes?	I don't know about it printing bar codes but I sure do like the rest of the program.
Is this program compatible with windows 8	yes it is
Does it print to 3 3/4 x 6 3/4 portable pages? i.e. Day Timer	Sorry Jim I would probably say no, after just looking at them
Can it import MS Outlook data?	I Love StatTrak, but I do not know if you can import MS Outlook data... Sorry
Can I print a 3" X 5" book?	I was able to print my address list on an 8 x 11 sheet but never tried a smaller size.
Does this work on a Palm PC	No..you need to get telenav. www.telenav.com.
Does this work on a Palm PC	No..you need to get telenav. www.telenav.com.
Windows: Can you use on XP?	Yes. All Windows from 98 through to Win 7. Kind Regards, Peter White Virtual Mechanics Inc.
can you create flash animation with this program	sorry, can't tell you. I have no idea.
Is this a full program or demo? Is the program on DVD or is it a download?	full program. Available on DVD.
Does this work with the latest Windows operating system?	I use [at present] Window 7 Professional with the sofware.
Can you design for mobile devices	Checkout SiteSpinner Pro.
Does anyone have a website they can show? Please paste your link in reply.	william-o-romine-jr.com is a site-spinner website. Works beautifully.
Windows: Can you use on XP?	Yes. All Windows from 98 through to Win 7. Kind Regards, Peter White Virtual Mechanics Inc.
can you create flash animation with this program	sorry, can't tell you. I have no idea.
Is this a full program or demo? Is the program on DVD or is it a download?	full program. Available on DVD.
Does this work with the latest Windows operating system?	I use [at present] Window 7 Professional with the sofware.
Can you design for mobile devices	Checkout SiteSpinner Pro.
Does anyone have a website they can show? Please paste your link in reply.	william-o-romine-jr.com is a site-spinner website. Works beautifully.
Windows: Can you use on XP?	Yes. All Windows from 98 through to Win 7. Kind Regards, Peter White Virtual Mechanics Inc.
can you create flash animation with this program	sorry, can't tell you. I have no idea.
Is this a full program or demo? Is the program on DVD or is it a download?	full program. Available on DVD.
Does this work with the latest Windows operating system?	I use [at present] Window 7 Professional with the sofware.
Can you design for mobile devices	Checkout SiteSpinner Pro.
Does anyone have a website they can show? Please paste your link in reply.	william-o-romine-jr.com is a site-spinner website. Works beautifully.
Adobe Photoshop Elements 2.0, 3.0, 4.0? Should I use APE 2.0, 3.0, or 4.0?	dope photoshop Elelements--Which version can be used with MS Vista?
Can this version export layers to individual untrimmed png files?	No
photoshop elements 2.0: Will photoshop elements 2.0 run on windows xp ?	Yes. But not Windows 7
Adobe Photoshop Elements 2.0, 3.0, 4.0? Should I use APE 2.0, 3.0, or 4.0?	dope photoshop Elelements--Which version can be used with MS Vista?
Can this version export layers to individual untrimmed png files?	No
photoshop elements 2.0: Will photoshop elements 2.0 run on windows xp ?	Yes. But not Windows 7
Help! How do you LOAD the Crazy Machines game?? Any suggestions???	Are the hardware requirements met?
Stuck on #85: Can anyone give us a hint?	are you still stuck on 85, I just got past it
Hints for #16: Blinker Device: Any advice?	we are stuck at 16 also, wondering if there is a mistake on this one??
Master Cook compatible with Mac?	Sorry. Since MC5, no Mac version. Only MC2, 3, 4 work on Mac.
will this work on a 32 bit pc	Yes it should.
Can I print 3 on business checks from this software?	from what software?
can i install microsoft money 2004 on vista	Yes, I had it installed and working on Vista.
Can I install this on windows 8?	WHAT DO YOU WANT TO INSTALL ON WINDOWS 8?
will this work on a 32 bit pc	Yes it should.
Can I print 3 on business checks from this software?	from what software?
can i install microsoft money 2004 on vista	Yes, I had it installed and working on Vista.
Can I install this on windows 8?	WHAT DO YOU WANT TO INSTALL ON WINDOWS 8?
will this work on a 32 bit pc	Yes it should.
Can I print 3 on business checks from this software?	from what software?
can i install microsoft money 2004 on vista	Yes, I had it installed and working on Vista.
Can I install this on windows 8?	WHAT DO YOU WANT TO INSTALL ON WINDOWS 8?
Hi, I'd like to know if iWork 08 is compatible with Mac OS X v.10.6.8 (Snow Leopard). Thanks	I would assume that it does work with Snow Leopard. I'm using it on Lion with no issues.
Does this come with a serial # that works?	As I recall, it did. Bought it a while ago for our used MacBook.
Can I install Mac power G5.	No you will need an intel based computer.
Does this chip speak in English ?	Yes, directions are in English. It worked very well for us.
